City,Country_Code,Latitude,Longitude,_id
Agra,1,27.18,78.02,6120e415865d903539a9692b
Ahmedabad,1,23.03,72.58,6120e415865d903539a9692c
Allahabad,1,25.455,81.84,6120e415865d903539a9692d
Amritsar,1,31.6167,74.85,6120e415865d903539a9692e
Aurangabad,1,19.88,75.32,6120e415865d903539a9692f
Bangalore,1,12.9699,77.598,6120e415865d903539a96930
Bhopal,1,23.25,77.4167,6120e415865d903539a96931
Bhubaneshwar,1,20.2644,85.8281,6120e415865d903539a96932
Chandigarh,1,30.7353,76.7911,6120e415865d903539a96933
Chennai,1,13.0825,80.275,6120e415865d903539a96934
Coimbatore,1,11,76.9667,6120e415865d903539a96935
Dehradun,1,30.193,78.0246,6120e415865d903539a96936
Faridabad,1,28.4333,77.3167,6120e415865d903539a96937
Ghaziabad,1,28.6667,77.4167,6120e415865d903539a96938
Goa,1,13.7,123.5,6120e415865d903539a96939
Gurgaon,1,28.45,77.02,6120e415865d903539a9693a
Guwahati,1,26.1667,91.7667,6120e415865d903539a9693b
Hyderabad,1,17.3667,78.4667,6120e415865d903539a9693c
Indore,1,22.7206,75.8472,6120e415865d903539a9693d
Jaipur,1,26.9167,75.8667,6120e415865d903539a9693e
Kanpur,1,26.27,80.14,6120e415865d903539a9693f
Kochi,1,9.9667,76.2833,6120e415865d903539a96940
Kolkata,1,22.5411,88.3378,6120e415865d903539a96941
Lucknow,1,26.847,80.947,6120e415865d903539a96942
Ludhiana,1,30.9083,75.8486,6120e415865d903539a96943
Mangalore,1,12.8703,74.8806,6120e415865d903539a96944
Mohali,1,30.679951,73.722107,6120e415865d903539a96945
Mumbai,1,18.9667,72.8333,6120e415865d903539a96946
Mysore,1,12.3086,76.6531,6120e415865d903539a96947
Nagpur,1,21.1539,79.0831,6120e415865d903539a96948
Nashik,1,20,73.48,6120e415865d903539a96949
New Delhi,1,28.7,77.2,6120e415865d903539a9694a
Noida,1,28.535517,77.391029,6120e415865d903539a9694b
Panchkula,1,30.695202,76.854172,6120e415865d903539a9694c
Patna,1,25.61,85.1414,6120e415865d903539a9694d
Puducherry,1,11.93,79.83,6120e415865d903539a9694e
Pune,1,18.5196,73.8553,6120e415865d903539a9694f
Ranchi,1,23.3556,85.3347,6120e415865d903539a96950
Secunderabad,1,17.45,78.5,6120e415865d903539a96951
Surat,1,21.17,72.83,6120e415865d903539a96952
Vadodara,1,22.3,73.2,6120e415865d903539a96953
Varanasi,1,25.3189,83.0128,6120e415865d903539a96954
Vizag,1,17.686815,83.218483,6120e415865d903539a96955
Armidale,14,-30.5,151.65,6120e415865d903539a96956
Balingup,14,-33.78817,115.98545,6120e415865d903539a96957
Beechworth,14,-36.35828,146.68583,6120e415865d903539a96958
Dicky Beach,14,-26.783,153.133,6120e415865d903539a96959
East Ballina,14,-28.8594,153.5872,6120e415865d903539a9695a
Flaxton,14,-26.659166,152.869171,6120e415865d903539a9695b
Forrest,14,-38.51453,143.71551,6120e415865d903539a9695c
Hepburn Springs,14,-37.31446,144.13667,6120e415865d903539a9695d
Huskisson,14,-35.04184,150.671326,6120e415865d903539a9695e
Inverloch,14,-38.6334,145.7278,6120e415865d903539a9695f
Lakes Entrance,14,-37.88115,147.98103,6120e415865d903539a96960
Lorn,14,-38.54105,143.975342,6120e415865d903539a96961
Macedon,14,43.0792,-77.3095,6120e415865d903539a96962
Mayfield,14,36.737,-88.6446,6120e415865d903539a96963
Middleton Beach,14,-35.0208,117.9082,6120e415865d903539a96964
Montville,14,40.9135,-74.3594,6120e415865d903539a96965
Palm Cove,14,-16.744307,145.670962,6120e415865d903539a96966
Paynesville,14,-37.9190133,147.720236,6120e415865d903539a96967
Penola,14,-37.3786,140.8362,6120e415865d903539a96968
Phillip Island,14,-38.48349,145.23102,6120e415865d903539a96969
Tanunda,14,-34.523458,138.96151,6120e415865d903539a9696a
Trentham East,14,-37.39295,144.38184,6120e415865d903539a9696b
Victor Harbor,14,-35.55,138.6167,6120e415865d903539a9696c
Brasilia,30,-15.7939,-47.8828,6120e415865d903539a9696d
Rio de Janeiro,30,-22.9083,-43.1964,6120e415865d903539a9696e
Sao Paulo,30,-23.5504,-46.6339,6120e415865d903539a9696f
Chatham-Kent,37,42.404804,-82.19104,6120e415865d903539a96970
Consort,37,52.00793,-110.7753809,6120e415865d903539a96971
Vineland Station,37,38.2235,-104.461,6120e415865d903539a96972
Yorkton,37,51.2139,-102.4628,6120e415865d903539a96973
Bandung,94,-6.95,107.5667,6120e415865d903539a96974
Bogor,94,-6.6,106.8,6120e415865d903539a96975
Jakarta,94,-6.2146,106.8451,6120e415865d903539a96976
Tangerang,94,-6.1783,106.6319,6120e415865d903539a96977
Auckland,148,-36.85,174.7833,6120e415865d903539a96978
Wellington City,148,-41.2867,174.773,6120e415865d903539a96979
Makati City,162,14.55,121.0333,6120e415865d903539a9697a
Mandaluyong City,162,14.5833,121.0333,6120e415865d903539a9697b
Pasay City,162,14.55,121,6120e415865d903539a9697c
Pasig City,162,14.575,121.0833,6120e415865d903539a9697d
Quezon City,162,14.6333,121.0333,6120e415865d903539a9697e
San Juan City,162,14.5994146,121.0368893,6120e415865d903539a9697f
Santa Rosa,162,14.3167,121.1167,6120e415865d903539a96980
Tagaytay City,162,14.09532,120.93355,6120e415865d903539a96981
Taguig City,162,14.5167,121.05,6120e415865d903539a96982
Doha,166,25.3,51.5333,6120e415865d903539a96983
Singapore,184,1.3,103.8,6120e415865d903539a96984
Cape Town,189,-33.925,18.425,6120e415865d903539a96985
Inner City,189,-26.186974,28.049139,6120e415865d903539a96986
Johannesburg,189,-26.2044,28.0416,6120e415865d903539a96987
Pretoria,189,-25.7464,28.1881,6120e415865d903539a96988
Randburg,189,-26.0936,28.0064,6120e415865d903539a96989
Sandton,189,-26.107,28.0517,6120e415865d903539a9698a
Colombo,191,6.9167,79.8333,6120e415865d903539a9698b
Ankara,208,39.93,32.85,6120e415865d903539a9698c
Istanbul,208,41.01,28.9603,6120e415865d903539a9698d
Abu Dhabi,214,24.4781,54.3686,6120e415865d903539a9698e
Dubai,214,25.2697,55.3094,6120e415865d903539a9698f
Sharjah,214,25.3575,55.3919,6120e415865d903539a96990
Birmingham,215,52.48,-1.9025,6120e415865d903539a96991
Edinburgh,215,55.953,-3.189,6120e415865d903539a96992
London,215,51.5072,-0.1275,6120e415865d903539a96993
Manchester,215,53.4794,-2.2453,6120e415865d903539a96994
Albany,216,42.6664,-73.7987,6120e415865d903539a96995
Athens,216,37.9842,23.7281,6120e415865d903539a96996
Augusta,216,33.3645,-82.0708,6120e415865d903539a96997
Boise,216,43.6007,-116.2312,6120e415865d903539a96998
