Address,Aggregate_rating,Average_Cost_for_two,City,Country_Code,Cuisines,Currency,Has_Online_delivery,Has_Table_booking,Is_delivering_now,Latitude,Locality,Locality_Verbose,Longitude,Price_range,Rating_color,Rating_text,Restaurant_ID,Restaurant_Name,Votes,_id
"N-19, Connaught Place, New Delhi",2.6,1800,New Delhi,1,"North Indian, Chinese, Mughlai",Indian Rupees(Rs.),Yes,Yes,No,28.6301966,Connaught Place,"Connaught Place, New Delhi",77.2208907,3,Orange,Average,53,Amber,152,6120e397a4acd2e72859492a
"G-2/43, Middle Circle, Connaught Place, New Delhi",3.9,1100,New Delhi,1,"Chinese, Thai",Indian Rupees(Rs.),Yes,Yes,No,28.6324521,Connaught Place,"Connaught Place, New Delhi",77.2172977,3,Yellow,Good,55,"Berco's",2639,6120e397a4acd2e72859492b
"29, Defence Colony Market, Defence Colony, New Delhi",3.2,900,New Delhi,1,"North Indian, Mughlai",Indian Rupees(Rs.),No,Yes,No,28.5740362,Defence Colony,"Defence Colony, New Delhi",77.2305911,2,Orange,Average,60,"Colonel's Kababz",600,6120e397a4acd2e72859492c
"M-8A, M Block Market, Greater Kailash (GK) 2, New Delhi",3.8,2500,New Delhi,1,Italian,Indian Rupees(Rs.),Yes,Yes,No,28.5342023,Greater Kailash (GK) 2,"Greater Kailash (GK) 2, New Delhi",77.2431861,4,Yellow,Good,64,Diva - The Italian Restaurant,372,6120e397a4acd2e72859492d
"S-14, Green Park Extension, Green Park, New Delhi",3.5,1800,New Delhi,1,"Chinese, Seafood, Thai",Indian Rupees(Rs.),Yes,Yes,No,28.5580181,Green Park,"Green Park, New Delhi",77.2059342,3,Yellow,Good,65,Drums of Heaven,234,6120e397a4acd2e72859492e
"11-D, Connaught Place, New Delhi",3.5,2000,New Delhi,1,"North Indian, Continental, European",Indian Rupees(Rs.),Yes,Yes,No,28.6336789,Connaught Place,"Connaught Place, New Delhi",77.2210029,4,Yellow,Good,66,Embassy,706,6120e397a4acd2e72859492f
"A-25/5, Middle Circle, Connaught Place, New Delhi",4,1200,New Delhi,1,Chinese,Indian Rupees(Rs.),No,Yes,No,28.6328105,Connaught Place,"Connaught Place, New Delhi",77.2172977,3,Green,Very Good,67,Fa Yian,412,6120e397a4acd2e728594930
"M-34, M Block Market, Greater Kailash (GK) 2, New Delhi",3.3,1100,New Delhi,1,"Chinese, Thai, Seafood",Indian Rupees(Rs.),Yes,Yes,No,28.5339137,Greater Kailash (GK) 2,"Greater Kailash (GK) 2, New Delhi",77.2431379,3,Orange,Average,69,Chungwa,489,6120e397a4acd2e728594931
"9, Pandara Road Market, New Delhi",3.9,1200,New Delhi,1,"Chinese, Thai, Japanese",Indian Rupees(Rs.),Yes,Yes,No,28.6080707,Pandara Road Market,"Pandara Road Market, New Delhi",77.2297892,3,Yellow,Good,73,Ichiban,768,6120e397a4acd2e728594932
"Shop 1, Hauz Khas Village, New Delhi",4.2,500,New Delhi,1,South Indian,Indian Rupees(Rs.),Yes,No,No,28.555157,Hauz Khas Village,"Hauz Khas Village, New Delhi",77.1952749,2,Green,Very Good,89,Naivedyam,1627,6120e397a4acd2e728594933
